Honest_FPTP_Winner,Honest_FPTP_Top_Two_Ratio,Honest_FPTP_Total_Ratio,Strategic_FPTP_Winner,Strategic_FPTP_Top_Two_Ratio,Strategic_FPTP_Total_Ratio,Approval_Winner,Approval_Top_Two_Ratio,Approval_Total_Ratio,Borda_Winner,Borda_Top_Two_Ratio,Borda_Total_Ratio,Classic_STV_Winner,Classic_STV_Top_Two_Ratio,Classic_STV_Total_Ratio,Complete_STV_Winner,Complete_STV_Top_Two_Ratio,Complete_STV_Total_Ratio
D,0.280648881,0.209438317,D,0.353063786,0.347669916,D,0.113189422,0.045063898,D,0.177625961,0.065688768,D,0.355578065,0.262138789,D,0.355578065,0.262138789
D,0.281789372,0.210717014,D,0.350801202,0.345244473,D,0.121074109,0.047999076,D,0.183141986,0.067613519,D,0.354801488,0.262208068,D,0.354801488,0.262208068
D,0.286566145,0.213809729,D,0.356062402,0.350863257,D,0.118791556,0.047242331,D,0.179452019,0.066428669,D,0.35930164,0.264865993,D,0.35930164,0.264865993
D,0.294254576,0.217814415,D,0.365348444,0.359763674,D,0.109738898,0.043779666,D,0.17685309,0.065561056,D,0.368465929,0.269670128,D,0.368465929,0.269670128
D,0.28904196,0.215699739,D,0.360054154,0.354696055,D,0.11112916,0.044474783,D,0.176719993,0.065565606,D,0.363316239,0.268233529,D,0.363316239,0.268233529
D,0.287107373,0.214046364,D,0.361780018,0.356308384,D,0.11661982,0.046459042,D,0.181205318,0.067096923,D,0.365776337,0.269571434,D,0.365776337,0.269571434
D,0.299756446,0.222447055,D,0.37837579,0.372498645,D,0.111706833,0.044705814,D,0.179995352,0.066829174,D,0.381382168,0.279075036,D,0.381382168,0.279075036
D,0.285320161,0.212583935,D,0.360574754,0.355450459,D,0.114214301,0.045536933,D,0.178992629,0.06628182,D,0.363986667,0.268128309,D,0.363986667,0.268128309
D,0.287366899,0.214170945,D,0.354945811,0.349165986,D,0.117768783,0.046871839,D,0.181090895,0.067009322,D,0.35830012,0.264083711,D,0.35830012,0.264083711
D,0.285559919,0.211534332,D,0.361712751,0.356099616,D,0.109356916,0.043611528,D,0.175648793,0.065063233,D,0.364769314,0.266993232,D,0.364769314,0.266993232
D,0.283376671,0.210982263,D,0.356651485,0.351219398,D,0.108408717,0.043315153,D,0.17653518,0.065408796,D,0.359245977,0.264454054,D,0.359245977,0.264454054
D,0.283405059,0.211387524,D,0.355317434,0.3499498,D,0.115494744,0.046032388,D,0.179579059,0.066480058,D,0.358856415,0.264633743,D,0.358856415,0.264633743
D,0.288137379,0.214127733,D,0.36238325,0.357313587,D,0.111241684,0.044415089,D,0.177927942,0.065942959,D,0.365832308,0.268510801,D,0.365832308,0.268510801
D,0.282758439,0.210025777,D,0.354686574,0.349362715,D,0.104541529,0.04191526,D,0.173038878,0.064244153,D,0.359691349,0.26405779,D,0.359691349,0.26405779
D,0.29602649,0.218800172,D,0.37184262,0.366143213,D,0.110726768,0.044424527,D,0.17604164,0.06546648,D,0.374821887,0.273877282,D,0.374821887,0.273877282
D,0.279246763,0.208996418,D,0.350410369,0.345297751,D,0.111940299,0.044585206,D,0.180150703,0.066542859,D,0.354413392,0.261877838,D,0.354413392,0.261877838
D,0.290594464,0.216337575,D,0.364579862,0.358915473,D,0.113179274,0.045315888,D,0.179629929,0.066641748,D,0.367905093,0.27074076,D,0.367905093,0.27074076
D,0.282930549,0.210083377,D,0.35690068,0.351960532,D,0.104845688,0.041928903,D,0.17072213,0.063427339,D,0.359858407,0.264051948,D,0.359858407,0.264051948
D,0.278207878,0.208046472,D,0.350177347,0.345198135,D,0.116092496,0.046177505,D,0.178795174,0.066112894,D,0.354136259,0.261854199,D,0.354136259,0.261854199
