Cast Vote Record,Rep. to Congress District 2 1st Choice,Rep. to Congress District 2 2nd Choice,Rep. to Congress District 2 3rd Choice,Rep. to Congress District 2 4th Choice
619,"Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.","REP Poliquin, Bruce"
620,"Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.",undervote
621,"DEM Golden, Jared F.",undervote,undervote,undervote
622,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
623,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
624,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
625,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
626,"Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.",undervote
627,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
628,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
629,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
630,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
631,"DEM Golden, Jared F.",undervote,undervote,undervote
632,"DEM Golden, Jared F.",undervote,undervote,undervote
633,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
634,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
635,"DEM Golden, Jared F.",undervote,undervote,undervote
636,"DEM Golden, Jared F.",undervote,undervote,undervote
637,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
638,"DEM Golden, Jared F.",undervote,undervote,undervote
639,"REP Poliquin, Bruce","DEM Golden, Jared F.",undervote,undervote
640,"DEM Golden, Jared F.",undervote,undervote,undervote
641,"REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.",undervote
642,"DEM Golden, Jared F.",undervote,undervote,undervote
643,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
644,"DEM Golden, Jared F.",undervote,undervote,undervote
645,"DEM Golden, Jared F.",undervote,undervote,undervote
646,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
647,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
648,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
649,"REP Poliquin, Bruce","Bond, Tiffany L.",undervote,"Hoar, William R.S."
650,"DEM Golden, Jared F.",undervote,undervote,undervote
651,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
652,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",undervote
653,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
654,"DEM Golden, Jared F.",undervote,undervote,undervote
655,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,"REP Poliquin, Bruce"
656,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
657,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
658,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
659,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
660,"DEM Golden, Jared F.",undervote,undervote,undervote
661,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
662,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
663,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
664,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
665,"DEM Golden, Jared F.",undervote,undervote,undervote
666,"REP Poliquin, Bruce",undervote,undervote,undervote
667,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
668,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
669,"DEM Golden, Jared F.",undervote,undervote,undervote
670,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
671,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
672,"DEM Golden, Jared F.",undervote,undervote,undervote
673,"DEM Golden, Jared F.",undervote,undervote,undervote
674,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
675,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
676,"DEM Golden, Jared F.",undervote,undervote,undervote
677,"DEM Golden, Jared F.",undervote,undervote,undervote
678,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
679,"DEM Golden, Jared F.",undervote,undervote,undervote
680,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.",undervote
681,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
682,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
683,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
684,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
685,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
686,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
