Cast Vote Record,Rep. to Congress District 2 1st Choice,Rep. to Congress District 2 2nd Choice,Rep. to Congress District 2 3rd Choice,Rep. to Congress District 2 4th Choice
500,"REP Poliquin, Bruce",undervote,undervote,undervote
501,"DEM Golden, Jared F.",undervote,undervote,undervote
502,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
503,"DEM Golden, Jared F.",undervote,undervote,undervote
504,"DEM Golden, Jared F.",undervote,undervote,undervote
505,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",undervote
506,"DEM Golden, Jared F.",undervote,undervote,undervote
507,"REP Poliquin, Bruce",undervote,undervote,undervote
508,"REP Poliquin, Bruce",undervote,undervote,undervote
509,"DEM Golden, Jared F.",undervote,undervote,undervote
510,"REP Poliquin, Bruce",undervote,undervote,undervote
511,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
512,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.","REP Poliquin, Bruce"
513,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
514,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
515,"DEM Golden, Jared F.",undervote,undervote,undervote
516,"DEM Golden, Jared F.",undervote,undervote,undervote
517,"DEM Golden, Jared F.",undervote,undervote,undervote
518,"DEM Golden, Jared F.",undervote,undervote,undervote
519,"DEM Golden, Jared F.",undervote,undervote,undervote
520,"DEM Golden, Jared F.",undervote,undervote,undervote
521,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
522,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
523,"DEM Golden, Jared F.",undervote,undervote,undervote
524,"REP Poliquin, Bruce",undervote,undervote,undervote
525,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
526,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
527,"DEM Golden, Jared F.",undervote,undervote,undervote
528,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
529,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
530,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
531,"DEM Golden, Jared F.","Bond, Tiffany L.","REP Poliquin, Bruce","Hoar, William R.S."
532,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
533,"REP Poliquin, Bruce",undervote,undervote,undervote
534,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
535,"DEM Golden, Jared F.",undervote,undervote,undervote
536,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
537,"DEM Golden, Jared F.",undervote,undervote,undervote
538,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
539,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,"Hoar, William R.S."
540,"DEM Golden, Jared F.",undervote,undervote,undervote
541,"DEM Golden, Jared F.","Bond, Tiffany L.","REP Poliquin, Bruce","Hoar, William R.S."
542,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
543,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
544,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote
545,"Bond, Tiffany L.","DEM Golden, Jared F.",undervote,undervote
546,"DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F."
547,"DEM Golden, Jared F.",undervote,undervote,undervote
548,"DEM Golden, Jared F.",undervote,undervote,undervote
549,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
550,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
551,"REP Poliquin, Bruce",undervote,undervote,undervote
552,"DEM Golden, Jared F.","Bond, Tiffany L.","REP Poliquin, Bruce","Hoar, William R.S."
553,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
554,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
555,"DEM Golden, Jared F.",undervote,undervote,undervote
556,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce"
557,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
558,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
559,"DEM Golden, Jared F.",undervote,undervote,undervote
560,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
561,"REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce"
562,"Bond, Tiffany L.","REP Poliquin, Bruce",undervote,undervote
563,"Bond, Tiffany L.","REP Poliquin, Bruce",undervote,undervote
564,"DEM Golden, Jared F.",undervote,undervote,undervote
565,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
566,"REP Poliquin, Bruce",undervote,undervote,undervote
567,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
568,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
569,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
570,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
571,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce"
572,"DEM Golden, Jared F.",undervote,undervote,undervote
573,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
574,"DEM Golden, Jared F.",undervote,undervote,undervote
575,"DEM Golden, Jared F.","REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L."
576,"Bond, Tiffany L.","DEM Golden, Jared F.",undervote,undervote
577,"REP Poliquin, Bruce",undervote,undervote,undervote
578,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
579,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
580,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
581,"DEM Golden, Jared F.",undervote,undervote,undervote
582,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
583,"DEM Golden, Jared F.",undervote,undervote,undervote
584,"REP Poliquin, Bruce",undervote,undervote,undervote
585,"REP Poliquin, Bruce",undervote,undervote,undervote
586,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
587,"DEM Golden, Jared F.",undervote,undervote,undervote
588,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
589,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
590,"REP Poliquin, Bruce",undervote,undervote,undervote
591,"DEM Golden, Jared F.",undervote,undervote,undervote
592,"DEM Golden, Jared F.",undervote,undervote,undervote
593,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
594,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
595,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
596,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
597,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
598,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.",undervote
599,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
600,"DEM Golden, Jared F.",undervote,undervote,undervote
601,"DEM Golden, Jared F.",undervote,undervote,undervote
602,"REP Poliquin, Bruce",undervote,undervote,undervote
603,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
604,"REP Poliquin, Bruce",undervote,undervote,undervote
605,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
606,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
607,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce"
608,"DEM Golden, Jared F.",undervote,"Bond, Tiffany L.",undervote
609,"DEM Golden, Jared F.",undervote,undervote,undervote
610,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
611,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
612,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
613,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
614,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
615,"DEM Golden, Jared F.",undervote,undervote,undervote
616,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
617,"DEM Golden, Jared F.",undervote,undervote,undervote
618,"DEM Golden, Jared F.",undervote,undervote,undervote
