Cast Vote Record,Rep. to Congress District 2 1st Choice,Rep. to Congress District 2 2nd Choice,Rep. to Congress District 2 3rd Choice,Rep. to Congress District 2 4th Choice
418,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
428,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
430,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,"Bond, Tiffany L."
2037,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
4569,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
7126,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7128,"REP Poliquin, Bruce",undervote,undervote,undervote
7132,"DEM Golden, Jared F.","REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S."
7136,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
7138,"DEM Golden, Jared F.",undervote,undervote,undervote
7140,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
7142,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
7146,"DEM Golden, Jared F.",undervote,undervote,undervote
7148,"REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F."
7152,"DEM Golden, Jared F.",undervote,undervote,undervote
7154,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7156,"REP Poliquin, Bruce",undervote,undervote,undervote
7158,"REP Poliquin, Bruce",undervote,undervote,undervote
7160,"DEM Golden, Jared F.",undervote,undervote,undervote
7162,"DEM Golden, Jared F.",undervote,undervote,undervote
7172,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
7178,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote
7180,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
7182,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
