Cast Vote Record,Rep. to Congress District 2 1st Choice,Rep. to Congress District 2 2nd Choice,Rep. to Congress District 2 3rd Choice,Rep. to Congress District 2 4th Choice
7186,"REP Poliquin, Bruce",undervote,undervote,undervote
7190,"REP Poliquin, Bruce",undervote,undervote,undervote
7196,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7198,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
7200,"DEM Golden, Jared F.",undervote,undervote,undervote
7204,"DEM Golden, Jared F.",undervote,undervote,undervote
7210,"REP Poliquin, Bruce",undervote,undervote,undervote
7212,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7214,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7216,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7222,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
7224,"DEM Golden, Jared F.",undervote,undervote,undervote
7230,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,"Hoar, William R.S."
7234,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7236,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
7238,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
7240,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
7242,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7244,"DEM Golden, Jared F.",undervote,undervote,undervote
7246,"REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.",undervote
7250,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7254,"DEM Golden, Jared F.",undervote,undervote,undervote
7256,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
7258,"DEM Golden, Jared F.",undervote,undervote,undervote
7260,"Bond, Tiffany L.","DEM Golden, Jared F.",undervote,undervote
7262,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
7266,"DEM Golden, Jared F.",undervote,undervote,undervote
7268,"DEM Golden, Jared F.",undervote,undervote,undervote
7270,"DEM Golden, Jared F.",undervote,undervote,undervote
7272,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
7274,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
7276,"DEM Golden, Jared F.",undervote,undervote,undervote
7278,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
7280,"DEM Golden, Jared F.",undervote,undervote,undervote
7282,"REP Poliquin, Bruce",undervote,undervote,undervote
7286,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
7288,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
7290,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
7292,"REP Poliquin, Bruce",undervote,undervote,undervote
7294,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
7296,"DEM Golden, Jared F.",undervote,undervote,undervote
7300,"DEM Golden, Jared F.",undervote,undervote,undervote
7302,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
7304,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.",undervote
7306,"REP Poliquin, Bruce",undervote,undervote,undervote
7312,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7314,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7316,"DEM Golden, Jared F.",undervote,undervote,undervote
7318,"DEM Golden, Jared F.",undervote,undervote,undervote
7320,"DEM Golden, Jared F.",undervote,undervote,undervote
7322,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
7334,"REP Poliquin, Bruce","Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S."
7336,"DEM Golden, Jared F.",undervote,undervote,undervote
7338,"DEM Golden, Jared F.",undervote,undervote,undervote
7340,"DEM Golden, Jared F.",undervote,undervote,undervote
7344,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7348,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7350,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
7352,"DEM Golden, Jared F.",undervote,undervote,undervote
7356,"DEM Golden, Jared F.",undervote,undervote,undervote
7358,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7360,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
7364,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
7366,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7370,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7372,"DEM Golden, Jared F.",undervote,undervote,undervote
7374,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
7376,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
7388,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
7390,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7392,"REP Poliquin, Bruce","Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L."
7396,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7400,"DEM Golden, Jared F.",undervote,undervote,undervote
7404,"DEM Golden, Jared F.",undervote,undervote,undervote
7410,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7412,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
7414,"REP Poliquin, Bruce",undervote,undervote,undervote
7418,"REP Poliquin, Bruce",undervote,undervote,undervote
7420,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7422,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
7426,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
7428,"DEM Golden, Jared F.",undervote,undervote,undervote
7430,"Hoar, William R.S.",undervote,undervote,undervote
7432,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7434,"DEM Golden, Jared F.",undervote,undervote,undervote
7436,"DEM Golden, Jared F.",undervote,undervote,undervote
7438,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7440,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7442,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7444,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7446,"DEM Golden, Jared F.",undervote,undervote,undervote
7448,"DEM Golden, Jared F.",undervote,undervote,undervote
7450,"DEM Golden, Jared F.",undervote,undervote,undervote
7452,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7454,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
7456,"DEM Golden, Jared F.",undervote,undervote,undervote
7458,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
7462,"DEM Golden, Jared F.",undervote,undervote,undervote
7468,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
7472,"DEM Golden, Jared F.",undervote,undervote,undervote
7474,"DEM Golden, Jared F.",undervote,undervote,undervote
7476,"REP Poliquin, Bruce",undervote,undervote,undervote
7478,"DEM Golden, Jared F.",undervote,undervote,undervote
7482,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
7484,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7486,"DEM Golden, Jared F.",undervote,undervote,undervote
7488,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
7490,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7492,"DEM Golden, Jared F.",undervote,undervote,undervote
7494,"REP Poliquin, Bruce","Bond, Tiffany L.",undervote,undervote
7496,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
7498,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",undervote
7500,"DEM Golden, Jared F.",undervote,undervote,undervote
7502,"REP Poliquin, Bruce","DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S."
7504,"DEM Golden, Jared F.",undervote,undervote,undervote
7506,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7508,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
7510,"DEM Golden, Jared F.",undervote,undervote,undervote
7512,"DEM Golden, Jared F.","REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L."
7514,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7516,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote
7520,"DEM Golden, Jared F.",undervote,undervote,undervote
7522,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
7524,"DEM Golden, Jared F.",undervote,undervote,undervote
7526,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
7528,"REP Poliquin, Bruce",undervote,undervote,undervote
7530,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
7532,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
7536,"DEM Golden, Jared F.",undervote,undervote,undervote
7538,"DEM Golden, Jared F.",undervote,undervote,undervote
7540,"DEM Golden, Jared F.","REP Poliquin, Bruce",undervote,undervote
7542,"REP Poliquin, Bruce",undervote,undervote,undervote
7544,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
7546,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
7548,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7550,"REP Poliquin, Bruce",undervote,undervote,undervote
7552,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7554,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
7556,"DEM Golden, Jared F.",undervote,undervote,undervote
7558,"DEM Golden, Jared F.",undervote,undervote,undervote
7562,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7564,"DEM Golden, Jared F.",undervote,undervote,undervote
7568,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
7570,"Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
7572,"DEM Golden, Jared F.",undervote,undervote,undervote
7574,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
7580,"DEM Golden, Jared F.",undervote,undervote,undervote
7582,"DEM Golden, Jared F.",undervote,undervote,undervote
7588,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
7590,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
7592,"DEM Golden, Jared F.",undervote,undervote,undervote
7594,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
7598,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
7600,"DEM Golden, Jared F.",undervote,undervote,undervote
7602,"REP Poliquin, Bruce",undervote,undervote,undervote
7606,"REP Poliquin, Bruce",undervote,undervote,undervote
7608,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
7612,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
7618,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7622,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7624,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7626,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7628,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
7630,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
7632,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7636,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
7638,"REP Poliquin, Bruce",undervote,undervote,undervote
7642,"REP Poliquin, Bruce",undervote,undervote,undervote
7644,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
7652,"REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F."
7654,"REP Poliquin, Bruce",undervote,"Bond, Tiffany L.","Hoar, William R.S."
7656,"REP Poliquin, Bruce",undervote,undervote,undervote
7660,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
7662,"DEM Golden, Jared F.",undervote,undervote,undervote
7666,"Hoar, William R.S.",undervote,undervote,undervote
7668,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7670,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7672,"DEM Golden, Jared F.",undervote,undervote,undervote
7674,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce"
7680,"Bond, Tiffany L.","DEM Golden, Jared F.",undervote,undervote
7684,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",undervote
7690,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
7692,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
7698,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce"
7700,"REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.",undervote
7702,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7704,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
7710,"DEM Golden, Jared F.",undervote,undervote,undervote
7712,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
7716,"Bond, Tiffany L.",undervote,undervote,undervote
7720,"REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F."
7724,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7726,"Bond, Tiffany L.","DEM Golden, Jared F.",undervote,undervote
7728,"DEM Golden, Jared F.",undervote,undervote,undervote
7734,"DEM Golden, Jared F.",undervote,undervote,undervote
7736,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7738,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
7740,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7744,"Bond, Tiffany L.","DEM Golden, Jared F.",undervote,undervote
7746,"REP Poliquin, Bruce",undervote,undervote,undervote
7752,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7754,"DEM Golden, Jared F.",undervote,undervote,undervote
7756,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7760,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7762,"REP Poliquin, Bruce",undervote,undervote,undervote
7764,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
7766,"REP Poliquin, Bruce",undervote,undervote,undervote
7770,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7772,"DEM Golden, Jared F.",undervote,undervote,undervote
7774,"DEM Golden, Jared F.",undervote,undervote,undervote
7776,"REP Poliquin, Bruce",undervote,undervote,undervote
7778,"DEM Golden, Jared F.",undervote,undervote,undervote
7780,"DEM Golden, Jared F.",undervote,undervote,undervote
7782,"DEM Golden, Jared F.",undervote,undervote,undervote
7784,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
7786,"Hoar, William R.S.",undervote,undervote,undervote
7788,"DEM Golden, Jared F.",undervote,undervote,undervote
7790,"DEM Golden, Jared F.",undervote,undervote,undervote
7792,undervote,"REP Poliquin, Bruce",undervote,undervote
7794,"REP Poliquin, Bruce",undervote,undervote,undervote
7796,"REP Poliquin, Bruce",undervote,undervote,undervote
7798,"DEM Golden, Jared F.",undervote,undervote,undervote
7800,"DEM Golden, Jared F.",undervote,undervote,undervote
7802,"DEM Golden, Jared F.",undervote,undervote,undervote
7804,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
7806,"REP Poliquin, Bruce","Bond, Tiffany L.",undervote,undervote
7808,"REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F."
7810,"DEM Golden, Jared F.",undervote,undervote,undervote
7816,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7818,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
7820,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7822,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
7824,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
7826,"REP Poliquin, Bruce",undervote,undervote,undervote
7828,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
7830,"REP Poliquin, Bruce",undervote,undervote,undervote
7832,"REP Poliquin, Bruce",undervote,undervote,undervote
7834,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7836,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7838,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
7842,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7844,"REP Poliquin, Bruce",undervote,undervote,undervote
7848,"REP Poliquin, Bruce",undervote,undervote,undervote
7850,"DEM Golden, Jared F.",undervote,undervote,undervote
7852,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
7854,"DEM Golden, Jared F.",undervote,undervote,undervote
7856,"Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce","DEM Golden, Jared F."
7858,"REP Poliquin, Bruce",undervote,undervote,undervote
7860,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
7862,"DEM Golden, Jared F.",undervote,undervote,undervote
7864,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
7866,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7868,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",undervote
7870,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote
7876,"REP Poliquin, Bruce",undervote,undervote,undervote
7878,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
7880,"DEM Golden, Jared F.",undervote,undervote,undervote
7882,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
7884,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
7886,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
7888,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
7890,"Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
7892,"REP Poliquin, Bruce","DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L."
7894,"REP Poliquin, Bruce","Bond, Tiffany L.",undervote,undervote
7895,"REP Poliquin, Bruce",undervote,undervote,undervote
7897,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
7899,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
7902,"DEM Golden, Jared F.",undervote,undervote,undervote
7904,"DEM Golden, Jared F.",undervote,undervote,undervote
7906,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
7908,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
7910,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7914,"REP Poliquin, Bruce",undervote,undervote,undervote
7916,"REP Poliquin, Bruce","Hoar, William R.S.",undervote,undervote
7918,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
7920,"REP Poliquin, Bruce",undervote,undervote,undervote
7922,"Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.",undervote
7926,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
7928,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7930,"DEM Golden, Jared F.",undervote,undervote,undervote
7932,"DEM Golden, Jared F.",undervote,undervote,undervote
7940,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7942,"REP Poliquin, Bruce",undervote,undervote,undervote
7944,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
7946,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
7948,"DEM Golden, Jared F.",undervote,undervote,undervote
7952,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7954,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7956,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7958,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
7960,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
7962,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
7964,"DEM Golden, Jared F.",undervote,undervote,undervote
7966,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce"
7968,"DEM Golden, Jared F.",undervote,undervote,undervote
7970,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7972,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
7974,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
7976,"DEM Golden, Jared F.",undervote,undervote,undervote
7978,"DEM Golden, Jared F.",undervote,undervote,undervote
7980,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.",undervote
7982,"DEM Golden, Jared F.",undervote,undervote,undervote
7984,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
7990,"DEM Golden, Jared F.","REP Poliquin, Bruce",undervote,undervote
7992,"REP Poliquin, Bruce","Bond, Tiffany L.",undervote,undervote
7994,"REP Poliquin, Bruce",undervote,undervote,undervote
7996,"DEM Golden, Jared F.",undervote,undervote,undervote
7998,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
8000,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
8002,"REP Poliquin, Bruce",undervote,undervote,undervote
8004,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
8006,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
8008,"REP Poliquin, Bruce",undervote,undervote,undervote
8010,"DEM Golden, Jared F.",undervote,undervote,undervote
8012,"DEM Golden, Jared F.",undervote,undervote,undervote
8014,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
8016,"DEM Golden, Jared F.",undervote,undervote,undervote
8020,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
8022,"REP Poliquin, Bruce",undervote,undervote,undervote
8024,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
8026,"DEM Golden, Jared F.",undervote,undervote,undervote
8028,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
8030,"REP Poliquin, Bruce",undervote,undervote,undervote
8032,"REP Poliquin, Bruce",undervote,undervote,undervote
8034,"REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F."
8036,"Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.",undervote
8038,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
8042,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
8044,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
8050,"REP Poliquin, Bruce",undervote,undervote,undervote
8052,"DEM Golden, Jared F.",undervote,undervote,undervote
8054,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
8056,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.","REP Poliquin, Bruce"
8062,"Bond, Tiffany L.","DEM Golden, Jared F.","REP Poliquin, Bruce",undervote
