Cast Vote Record,Rep. to Congress 1st Choice District 2,Rep. to Congress 2nd Choice District 2,Rep. to Congress 3rd Choice District 2,Rep. to Congress 4th Choice District 2
2450,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
2451,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
2453,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2456,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2459,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2460,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2461,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
2462,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2464,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2465,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2470,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2474,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2476,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2480,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2485,"Bond, Tiffany L.","DEM Golden, Jared F.",undervote,undervote
2488,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.",undervote
2489,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2490,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2491,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2493,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2494,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
2499,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2500,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2502,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2504,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2505,"Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.","REP Poliquin, Bruce"
2506,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
2507,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2508,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2512,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2513,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2514,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2515,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
2516,"Hoar, William R.S.","REP Poliquin, Bruce","DEM Golden, Jared F.","Bond, Tiffany L."
2517,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2518,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
2523,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2524,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L."
2526,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
2527,"Hoar, William R.S.","DEM Golden, Jared F.","REP Poliquin, Bruce","Bond, Tiffany L."
2528,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2529,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2533,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
2534,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
2535,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2536,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2537,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2540,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2542,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S."
2545,"Bond, Tiffany L.",undervote,undervote,undervote
2546,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2547,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2548,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2550,"DEM Golden, Jared F. (5471)",undervote,overvote,undervote
2553,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2556,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2557,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
2558,"Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
2559,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2560,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
2561,"REP Poliquin, Bruce (5931)","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce"
2562,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2564,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
2569,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2570,"Bond, Tiffany L.","DEM Golden, Jared F.","REP Poliquin, Bruce","Hoar, William R.S."
2572,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2574,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L."
2575,undervote,undervote,undervote,undervote
2576,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S."
2578,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2580,"DEM Golden, Jared F. (5471)","DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F."
2581,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2584,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
2586,"DEM Golden, Jared F. (5471)",undervote,"Bond, Tiffany L.","Hoar, William R.S."
2588,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2592,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2593,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2597,"DEM Golden, Jared F. (5471)","Hoar, William R.S.",undervote,undervote
2598,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2599,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
2601,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2602,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2605,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2606,"Bond, Tiffany L.",undervote,undervote,undervote
2607,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2609,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
2611,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
2612,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2615,"DEM Golden, Jared F. (5471)","DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F."
2616,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2617,"Hoar, William R.S.",undervote,undervote,undervote
2618,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
2619,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F."
2623,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2624,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2625,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2626,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2629,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
2630,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2631,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2632,"Hoar, William R.S.",undervote,undervote,undervote
2633,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2634,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2635,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2636,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2637,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2642,"Bond, Tiffany L.",undervote,undervote,undervote
2654,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S."
2655,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2656,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2661,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2662,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","REP Poliquin, Bruce",undervote
2663,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
2666,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2670,"Hoar, William R.S.","REP Poliquin, Bruce","Bond, Tiffany L.","DEM Golden, Jared F."
2671,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2672,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2673,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
2674,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2678,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2683,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2686,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2687,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2690,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2691,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce"
2692,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2694,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.",undervote
2696,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S."
2697,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
2698,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
2699,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2700,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
2701,"Bond, Tiffany L.","DEM Golden, Jared F.",undervote,undervote
2711,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2713,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2714,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2719,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2723,"Bond, Tiffany L.",undervote,undervote,undervote
2729,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2730,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2731,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2737,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2740,"DEM Golden, Jared F. (5471)","Hoar, William R.S.",undervote,undervote
2742,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2744,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2745,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
2747,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
2749,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2753,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2759,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2761,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2762,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","DEM Golden, Jared F.","Hoar, William R.S."
2764,"DEM Golden, Jared F. (5471)","Hoar, William R.S.",undervote,undervote
2768,"REP Poliquin, Bruce (5931)","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce"
2773,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2775,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2779,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
2780,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2781,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2782,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
2785,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Bond, Tiffany L.","DEM Golden, Jared F."
2786,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2787,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2788,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","REP Poliquin, Bruce","Bond, Tiffany L."
2790,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2794,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2802,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2803,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2806,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2807,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
2809,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2811,undervote,"Hoar, William R.S.",undervote,undervote
2815,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
2816,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
2817,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
2819,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2821,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
2824,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2825,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
2829,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
2832,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2836,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2837,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2839,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2840,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2841,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2843,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2847,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.",undervote
2849,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2851,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2852,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
2853,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2855,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
2856,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
2863,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2864,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
2865,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2866,"Hoar, William R.S.","REP Poliquin, Bruce",undervote,undervote
2871,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2872,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2876,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2877,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2882,"DEM Golden, Jared F. (5471)","Hoar, William R.S.",undervote,undervote
2883,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2884,"DEM Golden, Jared F. (5471)","DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F."
2886,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
2888,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2889,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2891,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2896,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
2897,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2898,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.","REP Poliquin, Bruce"
2900,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2903,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
2909,"DEM Golden, Jared F. (5471)",overvote,undervote,undervote
2910,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
2912,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2914,"REP Poliquin, Bruce (5931)","Hoar, William R.S.",undervote,undervote
2915,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2916,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2918,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2919,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2920,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2925,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
2926,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2928,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
2929,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2931,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2932,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
2938,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2939,"Bond, Tiffany L.",undervote,undervote,undervote
2940,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
2942,"Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce","DEM Golden, Jared F."
2945,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
2946,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2947,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2949,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","REP Poliquin, Bruce","Bond, Tiffany L."
2950,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2951,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
2952,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
2958,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
2959,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2962,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","REP Poliquin, Bruce","Hoar, William R.S."
2963,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2964,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2965,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L."
2966,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2967,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2969,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2970,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2974,"Bond, Tiffany L.",undervote,undervote,undervote
2975,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2978,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
2979,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2984,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2985,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2986,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2989,undervote,undervote,undervote,undervote
2990,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
2992,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
2995,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
2996,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
3001,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
3004,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
3008,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
3009,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce",undervote,"Hoar, William R.S."
3011,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
3012,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
3013,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
3014,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
3015,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
3016,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
3017,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
3021,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
3022,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
3023,undervote,"DEM Golden, Jared F.",undervote,undervote
3028,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","REP Poliquin, Bruce",undervote
3035,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
3038,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
3039,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
3041,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
3042,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
3045,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
3047,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
3049,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
3052,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce"
3055,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
3058,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F."
3059,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
3060,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
3061,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
3062,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
3063,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
3064,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
3065,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
3066,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","REP Poliquin, Bruce","Hoar, William R.S."
3067,"Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
3068,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
3069,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
3070,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
3076,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
3078,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
3079,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
3081,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
3082,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
3083,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
3086,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S."
3087,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
3089,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
3090,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
3091,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
3092,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.","REP Poliquin, Bruce"
3095,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
3098,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote
3103,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.","REP Poliquin, Bruce"
3104,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
3109,"DEM Golden, Jared F. (5471)","Hoar, William R.S.",undervote,undervote
3110,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
3111,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
3112,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
3116,"DEM Golden, Jared F. (5471)",undervote,undervote,"REP Poliquin, Bruce"
3117,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
3119,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F."
3120,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
3122,"Bond, Tiffany L.","DEM Golden, Jared F.",undervote,undervote
3123,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L."
3124,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
3126,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
3129,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
3130,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
