Cast Vote Record,Rep. to Congress 1st Choice District 2,Rep. to Congress 2nd Choice District 2,Rep. to Congress 3rd Choice District 2,Rep. to Congress 4th Choice District 2
152,"DEM Golden, Jared F. (5471)","DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F."
154,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
156,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
157,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
163,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
167,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
168,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
170,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
171,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
172,"Hoar, William R.S.",undervote,undervote,undervote
173,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
174,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
175,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
176,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
180,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
182,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
186,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
187,"Bond, Tiffany L.",undervote,undervote,undervote
191,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
192,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
193,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
196,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
199,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
201,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
202,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
203,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
205,"DEM Golden, Jared F. (5471)","Hoar, William R.S.",undervote,undervote
210,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S."
211,"REP Poliquin, Bruce (5931)","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce"
212,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
214,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
215,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
218,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
219,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
221,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
226,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
227,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
229,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
231,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
232,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
234,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
238,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
240,undervote,undervote,undervote,undervote
241,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
244,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
245,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
246,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote
250,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
252,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.","Bond, Tiffany L.",undervote
255,"Bond, Tiffany L.",undervote,undervote,undervote
256,undervote,undervote,undervote,undervote
259,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
260,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
261,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
263,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
264,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
267,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
269,"DEM Golden, Jared F. (5471)","Hoar, William R.S.",undervote,undervote
270,undervote,undervote,undervote,undervote
271,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
273,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S."
277,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
278,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
280,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
281,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote
282,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
283,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
284,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
285,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote
286,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote
287,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote
288,"Bond, Tiffany L.","DEM Golden, Jared F.",undervote,undervote
