Cast Vote Record,Rep. to Congress District 2 1st Choice,Rep. to Congress District 2 2nd Choice,Rep. to Congress District 2 3rd Choice,Rep. to Congress District 2 4th Choice
2000,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
2001,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
2002,"DEM Golden, Jared F.",undervote,undervote,undervote
2003,"DEM Golden, Jared F.",undervote,undervote,undervote
2004,"REP Poliquin, Bruce","Bond, Tiffany L.",undervote,undervote
2005,"DEM Golden, Jared F.",undervote,undervote,undervote
2006,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
2007,"REP Poliquin, Bruce",undervote,undervote,undervote
2008,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2009,"DEM Golden, Jared F.",undervote,undervote,undervote
2010,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
2011,"REP Poliquin, Bruce","Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S."
2012,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
2013,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
2014,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
2015,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote
2016,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2017,"DEM Golden, Jared F.",undervote,undervote,undervote
2018,"DEM Golden, Jared F.",undervote,undervote,undervote
2019,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
2020,"DEM Golden, Jared F.",undervote,undervote,undervote
2021,"DEM Golden, Jared F.",undervote,undervote,undervote
2022,"DEM Golden, Jared F.",undervote,undervote,undervote
2023,"DEM Golden, Jared F.",undervote,undervote,undervote
2024,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
2025,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2026,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
2027,"DEM Golden, Jared F.",undervote,undervote,undervote
2028,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
2029,"DEM Golden, Jared F.",undervote,undervote,undervote
