Cast Vote Record,Rep. to Congress District 2 1st Choice,Rep. to Congress District 2 2nd Choice,Rep. to Congress District 2 3rd Choice,Rep. to Congress District 2 4th Choice
2030,"DEM Golden, Jared F.",undervote,undervote,undervote
2031,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
2032,"DEM Golden, Jared F.",undervote,undervote,undervote
2033,"REP Poliquin, Bruce",undervote,undervote,undervote
2034,"DEM Golden, Jared F.",undervote,undervote,undervote
2035,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
2036,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
2037,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
2038,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2039,"REP Poliquin, Bruce","Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S."
2040,"DEM Golden, Jared F.",undervote,undervote,undervote
2041,"DEM Golden, Jared F.",undervote,undervote,undervote
2042,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
2043,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
2044,"DEM Golden, Jared F.",undervote,undervote,undervote
2045,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
2046,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
2047,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2048,"Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.",undervote
2049,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
2050,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
2051,"DEM Golden, Jared F.",undervote,undervote,undervote
2052,"Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.","REP Poliquin, Bruce"
2053,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2054,"REP Poliquin, Bruce","DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S."
2055,"DEM Golden, Jared F.",undervote,undervote,undervote
2056,"REP Poliquin, Bruce","Hoar, William R.S.",undervote,undervote
2057,"DEM Golden, Jared F.",undervote,undervote,undervote
2058,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
2059,"DEM Golden, Jared F.",undervote,undervote,undervote
2060,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
2061,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
2062,"DEM Golden, Jared F.",undervote,undervote,undervote
2063,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
2064,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2065,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
2066,"REP Poliquin, Bruce",undervote,undervote,undervote
2067,"REP Poliquin, Bruce",undervote,undervote,undervote
2068,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
2069,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
2070,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
2071,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
2072,"DEM Golden, Jared F.",undervote,undervote,undervote
2073,"REP Poliquin, Bruce",undervote,undervote,undervote
2074,"DEM Golden, Jared F.",undervote,undervote,undervote
2075,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",undervote
2076,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",undervote
2077,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
2078,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
2079,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2080,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
2081,"DEM Golden, Jared F.",undervote,undervote,undervote
2082,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
2083,"DEM Golden, Jared F.",undervote,undervote,undervote
2084,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
2085,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
2086,"DEM Golden, Jared F.",undervote,undervote,undervote
2087,"DEM Golden, Jared F.","REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S."
2088,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
2089,"Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
2090,"DEM Golden, Jared F.",undervote,undervote,undervote
2091,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
2092,"DEM Golden, Jared F.",undervote,undervote,undervote
2093,"Bond, Tiffany L.","DEM Golden, Jared F.",undervote,undervote
2094,"DEM Golden, Jared F.",undervote,undervote,undervote
2095,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",undervote
2096,"DEM Golden, Jared F.",undervote,undervote,undervote
2097,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
2098,"DEM Golden, Jared F.",undervote,undervote,undervote
2099,"DEM Golden, Jared F.",undervote,undervote,undervote
2100,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2101,"DEM Golden, Jared F.",undervote,undervote,undervote
2102,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
2103,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2104,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
2105,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2106,"Bond, Tiffany L.","DEM Golden, Jared F.",undervote,undervote
2107,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
2108,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote
2109,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
2110,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
2111,"DEM Golden, Jared F.",undervote,undervote,undervote
2112,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
2113,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
2114,"REP Poliquin, Bruce",undervote,undervote,undervote
2115,"DEM Golden, Jared F.",undervote,undervote,undervote
2116,"Bond, Tiffany L.",undervote,undervote,undervote
2117,"Bond, Tiffany L.",undervote,undervote,undervote
2118,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
2119,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce"
2120,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
2121,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce"
2122,"DEM Golden, Jared F.",undervote,undervote,undervote
